Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,12
design__inferred_latch__count,0
design__instance__count,14511
design__instance__area,209211
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,15
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.007066827733069658
power__switching__total,0.0036218210589140654
power__leakage__total,0.0000052069640332774725
power__total,0.010693855583667755
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.31912992596255507
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.31254075212505017
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.10977358222017744
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.466116713975122
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.109774
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,16.579287
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,15
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.4163499385325005
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.3920601454458817
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6134767312235468
timing__setup__ws__corner:nom_slow_1p08V_125C,12.090376153563389
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.613477
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,12.090376
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,15
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.3561923912195123
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.34147971528107685
timing__hold__ws__corner:nom_typ_1p20V_25C,0.30125691682841693
timing__setup__ws__corner:nom_typ_1p20V_25C,13.775878605546518
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.301257
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,14.916982
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,15
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.31912992596255507
clock__skew__worst_setup,0.31254075212505017
timing__hold__ws,0.10977358222017744
timing__setup__ws,12.090376153563389
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109774
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,12.090376
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 854.4 313.74
design__core__bbox,2.88 3.78 851.52 309.96
design__io,45
design__die__area,268059
design__core__area,259837
design__instance__count__stdcell,14511
design__instance__area__stdcell,209211
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.805165
design__instance__utilization__stdcell,0.805165
design__rows,81
design__rows:CoreSite,81
design__sites,143208
design__sites:CoreSite,143208
design__instance__count__class:buffer,1
design__instance__area__class:buffer,9.072
design__instance__count__class:inverter,242
design__instance__area__class:inverter,1417.05
design__instance__count__class:sequential_cell,1637
design__instance__area__class:sequential_cell,77224.5
design__instance__count__class:multi_input_combinational_cell,8906
design__instance__area__class:multi_input_combinational_cell,82462.7
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,3163
design__instance__area__class:timing_repair_buffer,44039.1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,455845
design__violations,0
design__instance__count__class:clock_buffer,265
design__instance__area__class:clock_buffer,2404.08
design__instance__count__class:clock_inverter,10
design__instance__area__class:clock_inverter,92.5344
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1799
antenna__violating__nets,18
antenna__violating__pins,18
route__antenna_violation__count,18
antenna_diodes_count,287
design__instance__count__class:antenna_cell,287
design__instance__area__class:antenna_cell,1562.2
route__net,15854
route__net__special,2
route__drc_errors__iter:0,13947
route__wirelength__iter:0,515840
route__drc_errors__iter:1,7262
route__wirelength__iter:1,510887
route__drc_errors__iter:2,6976
route__wirelength__iter:2,510018
route__drc_errors__iter:3,1088
route__wirelength__iter:3,506415
route__drc_errors__iter:4,257
route__wirelength__iter:4,506177
route__drc_errors__iter:5,51
route__wirelength__iter:5,506145
route__drc_errors__iter:6,10
route__wirelength__iter:6,506082
route__drc_errors__iter:7,0
route__wirelength__iter:7,506078
route__drc_errors,0
route__wirelength,506078
route__vias,99359
route__vias__singlecut,99359
route__vias__multicut,0
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,871.03
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,1529
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,1529
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,1529
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,1529
